name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Beardsley,4984,Valid,H5,16000,Fell,01/01/1929 12:00:00 AM,39.800.000,-101.200.000,"(39.800000, -101.200000)"
Beaver Creek,4986,Valid,H5,14000,Fell,01/01/1893 12:00:00 AM,51.166.670,-117.333.330,"(51.166670, -117.333330)"
Beddgelert,4993,Valid,H5,794,Fell,01/01/1949 12:00:00 AM,53.016.670,-4.100.000,"(53.016670, -4.100000)"
Bells,5005,Valid,C2-ung,375,Fell,01/01/1961 12:00:00 AM,33.600.000,-96.466.670,"(33.600000, -96.466670)"
Belville,5009,Valid,OC,,Fell,01/01/1937 12:00:00 AM,-32.333.330,-64.866.670,"(-32.333330, -64.866670)"
Benares (a),5011,Valid,LL4,3700,Fell,01/01/1798 12:00:00 AM,25.366.670,82.916.670,"(25.366670, 82.916670)"
Benguerir,30443,Valid,LL6,25000,Fell,01/01/2004 12:00:00 AM,32.250.000,-8.150.000,"(32.250000, -8.150000)"
Beni M'hira,5018,Valid,L6,19000,Fell,01/01/2001 12:00:00 AM,32.866.670,10.800.000,"(32.866670, 10.800000)"
Benld,5021,Valid,H6,1770.5,Fell,01/01/1938 12:00:00 AM,39.083.330,-89.150.000,"(39.083330, -89.150000)"
Benoni,5023,Valid,H6,3880,Fell,01/01/1943 12:00:00 AM,-26.166.670,28.416.670,"(-26.166670, 28.416670)"
